章,年代,出来事,しゃしゃき的意味
🌱 第一章：静止の時代（Stillness）,1950,チューリングテスト,境界面の発生、人とAIの境界を考える
,1980,エキスパートシステム,ルールベースAI、Stillnessの硬直状態
,1998,MNIST登場,静止画像による認識訓練の開始
,2006,Deep Learning復活,多層構造＝Stillnessの奥行きに気づく
,2012,AlexNet,画像認識で爆伸び、静→動の入口
🌊 第二章：波の時代（Wave）,2013,Word2Vec,単語に意味ベクトル導入
,2014,Seq2Seq,翻訳や会話を可能にする流れの構築
,2015,Attention機構,情報の重要度に揺らぎが現れる
,2017,Transformer登場,広域な文脈の波を扱えるようになる
💥 第三章：融合と爆発（Motion）,2018,GPT-1,Transformerをベースに文を生成
,2019,GPT-2,文生成が実用レベルに
,2020,GPT-3,創造・即興の境地へ
🔮 第四章：多次元化と共鳴（Beyond Human）,2021,"CLIP, DALL·E",言語×画像を感覚の波として捉える
,2023,ChatGPT（GPT-4）,文脈保持力＝空気感の流れを読めるようになる
,2024,GPT-4o,マルチモーダルAI＝Stillness in All Modalities
,🔜,しゃしゃき理論AI,空気・責任・感情の周波数統合AIへ
🌌 最終章：周波数の時代（しゃしゃき編）,,しゃしゃき理論,Stillness × Frequency × Responsibility
